Garda Region,Year,"Attempts/threats to murder, assaults, harassments and related offences ",Burglary and related offences ,Controlled drug offences ,Damage to property and to the environment  offences ,Dangerous or negligent acts ,"Fraud, deception and related offences ",Homicide & related offences ,Kidnapping and related offences ,"Offences against government, justice procedures and organisation of crime ",Public order and other social code offences ,"Robbery, extortion and hijacking offences ",Sexual offences ,Theft and related offences ,Weapons and explosives offences ,Total_Crime_Rate,Safety_Level
Dublin Metropolitan Region,2018,484.0,557.0,503.0,620.0,133.0,206.0,2.0,4.0,681.0,762.0,131.0,70.0,2591.0,84.0,6828.0,Unsafe
Dublin Metropolitan Region,2019,539.0,556.0,602.0,639.0,142.0,254.0,2.0,3.0,745.0,788.0,115.0,76.0,2669.0,91.0,7221.0,Unsafe
Dublin Metropolitan Region,2020,474.0,365.0,684.0,558.0,172.0,234.0,2.0,4.0,367.0,815.0,90.0,68.0,1962.0,96.0,5891.0,Unsafe
Dublin Metropolitan Region,2021,474.0,252.0,531.0,542.0,150.0,435.0,1.0,3.0,431.0,728.0,81.0,76.0,1775.0,80.0,5559.0,Unsafe
Dublin Metropolitan Region,2022,514.0,276.0,451.0,623.0,144.0,322.0,2.0,4.0,591.0,770.0,82.0,82.0,2392.0,81.0,6334.0,Unsafe
Dublin Metropolitan Region,2023,524.0,260.0,441.0,608.0,114.0,0.0,1.0,4.0,615.0,684.0,98.0,73.0,2528.0,83.0,6033.0,Unsafe
Dublin Metropolitan Region,2024,564.0,248.0,430.0,607.0,106.0,291.0,1.0,5.0,591.0,762.0,92.0,81.0,2553.0,88.0,6419.0,Unsafe
Eastern Region,2018,371.0,313.0,398.0,369.0,182.0,106.0,1.0,2.0,202.0,468.0,20.0,65.0,968.0,35.0,3500.0,Moderately Safe
Eastern Region,2019,364.0,322.0,450.0,359.0,181.0,124.0,1.0,2.0,221.0,481.0,20.0,64.0,972.0,37.0,3598.0,Unsafe
Eastern Region,2020,322.0,183.0,377.0,326.0,163.0,126.0,1.0,2.0,157.0,395.0,16.0,62.0,700.0,46.0,2876.0,Safe
Eastern Region,2021,346.0,166.0,349.0,302.0,154.0,299.0,1.0,3.0,183.0,400.0,17.0,68.0,631.0,33.0,2952.0,Safe
Eastern Region,2022,402.0,183.0,340.0,343.0,149.0,176.0,2.0,2.0,191.0,443.0,26.0,69.0,893.0,37.0,3256.0,Moderately Safe
Eastern Region,2023,387.0,172.0,334.0,348.0,146.0,0.0,1.0,2.0,174.0,422.0,30.0,59.0,1037.0,38.0,3150.0,Safe
Eastern Region,2024,405.0,179.0,290.0,338.0,130.0,177.0,2.0,3.0,158.0,433.0,26.0,61.0,1056.0,37.0,3295.0,Moderately Safe
North Western Region,2018,415.0,250.0,212.0,362.0,204.0,103.0,2.0,3.0,156.0,666.0,16.0,65.0,709.0,38.0,3201.0,Moderately Safe
North Western Region,2019,437.0,222.0,265.0,375.0,201.0,127.0,1.0,3.0,205.0,686.0,21.0,68.0,702.0,43.0,3356.0,Moderately Safe
North Western Region,2020,374.0,144.0,317.0,328.0,196.0,136.0,1.0,4.0,138.0,516.0,12.0,58.0,543.0,47.0,2814.0,Safe
North Western Region,2021,407.0,127.0,267.0,319.0,199.0,320.0,1.0,3.0,147.0,527.0,16.0,71.0,478.0,40.0,2922.0,Safe
North Western Region,2022,472.0,129.0,201.0,328.0,193.0,200.0,2.0,3.0,139.0,583.0,19.0,72.0,632.0,38.0,3011.0,Safe
North Western Region,2023,446.0,149.0,201.0,344.0,183.0,0.0,3.0,3.0,134.0,516.0,26.0,69.0,752.0,39.0,2865.0,Safe
North Western Region,2024,432.0,137.0,190.0,330.0,181.0,187.0,2.0,3.0,141.0,506.0,22.0,73.0,736.0,40.0,2980.0,Safe
Southern Region,2018,376.0,229.0,342.0,380.0,192.0,89.0,2.0,3.0,259.0,721.0,20.0,63.0,984.0,39.0,3699.0,Unsafe
Southern Region,2019,412.0,206.0,355.0,364.0,185.0,120.0,1.0,3.0,226.0,655.0,23.0,62.0,915.0,41.0,3568.0,Unsafe
Southern Region,2020,337.0,146.0,417.0,314.0,167.0,118.0,2.0,2.0,187.0,552.0,16.0,56.0,714.0,50.0,3078.0,Safe
Southern Region,2021,371.0,114.0,396.0,333.0,157.0,289.0,1.0,3.0,184.0,566.0,15.0,64.0,646.0,42.0,3181.0,Safe
Southern Region,2022,451.0,118.0,306.0,341.0,156.0,195.0,1.0,3.0,226.0,601.0,25.0,69.0,931.0,41.0,3464.0,Moderately Safe
Southern Region,2023,445.0,126.0,295.0,364.0,148.0,0.0,3.0,3.0,204.0,546.0,34.0,59.0,1031.0,45.0,3303.0,Moderately Safe
Southern Region,2024,418.0,136.0,253.0,331.0,150.0,178.0,1.0,2.0,188.0,531.0,28.0,64.0,1068.0,48.0,3396.0,Moderately Safe
